hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
213	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8h9h	Kc9s	Ac 8d Qd Qh Js	Raise:2.50	Raise:2.50	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Raise:2.50|Raise:2.50|Raise:2.50	Raise:2.50|Fold|Fold|Call|Fold|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Call|Call|Call|Call|Call	loss
214	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c9s	3h6h	2c 8h Kh 5s Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Call|Call	tie
215	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JcKc	2h4s	4c Qc Qd 8h Th	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Raise:2.50|Call	tie
216	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac8s	2c5d	Td 5h 5s 7s Js	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Fold|Fold|Raise:2.50	tie
217	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3d6h	5c2d	4c 4h Kh Qs As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Fold	tie
218	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8d6s	6h9h	7c 7d 3h 5h 7h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Raise:2.50|Call|Call	tie
219	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cAh	2cTd	8d Jd 4s 5s 7s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Fold|Call|Call|Fold|Fold|Fold	tie
220	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2cTh	5c7c	Tc Qc Ad 9s Ks	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
221	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4sAs	5d5h	2c 4d 7d 3h Ah	Raise:2.50	Fold	-13.5000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Call|Call	Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
222	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cAd	6hJh	2c 4h 4s 8s Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Raise:2.50|Call|Fold|Call|Call	tie
223	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6c6d	6h8h	7c Jc Qd Kd Jh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Fold|Fold|Raise:2.50|Call|Fold	tie
224	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ad6s	6dQh	9c 8d 4s 8s Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Fold|Call	tie
225	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kh4s	8c3d	7c 4d 6h Qs Ks	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Raise:2.50|Raise:2.50|Call|Call	tie
226	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8cKh	6h7h	4c Qd Ad 6s 9s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Raise:2.50|Call|Call|Fold|Call	tie
227	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cAd	ThQs	4c Kc Kd Ts Js	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Fold|Fold|Fold|Call|Raise:2.50|Call	tie
228	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dQd	TdTs	4c Qc 2h 7h 8h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Raise:2.50|Call|Call	tie
229	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7c9h	JhKs	Qd 3h Kh 2s 5s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Call|Call|Call	tie
230	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QcKc	QdAh	8c 8h 9h 8s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Raise:2.50|Call|Call|Raise:2.50|Call|Call	tie
231	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KdJh	KhTs	9c 4d 5d 7h 8s	Raise:2.50	Raise:2.50	-8.5000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	3	Raise:2.50|Raise:2.50|Fold	Raise:2.50|Call|Call|Call|Call|Call|Call|Fold|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Check|Check|Fold|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Check|Raise:2.50	loss
232	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9sTs	Ah2s	Qc 3d 7h Kh As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Raise:2.50|Call|Fold	tie
233	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2dKs	Ac3s	7d Td Jd 5h Ah	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Raise:2.50|Fold|Raise:2.50|Call|Call	tie
234	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5dQh	3cTd	Kc 3d Ad 9h Jh	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Call|Fold|Call|Call	tie
235	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d3s	6c3h	5c 3d 9d Jh 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Raise:2.50|Call|Raise:2.50|Fold|Fold	tie
236	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2c8s	4dKh	Qd 3h 6h 7h Th	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Call|Call|Call|Call	tie
237	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2d9s	3c6s	Jd Qd 2h Ah Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Raise:2.50|Call|Call|Call|Fold	tie
238	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7dAh	5cQh	2c Jd Kd 7s 9s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Raise:2.50|Call|Call|Call	tie
239	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Tc3h	2d8h	2s 3s 5s 8s Js	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Call|Call|Call	tie
240	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c6d	3h8s	6c 5d Kh 2s 5s	Fold	Fold	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Fold|Call|Call|Call|Call|Fold	tie
241	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5s7s	4h3s	3c 5d Qd Qh As	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Call|Raise:2.50|Raise:2.50|Fold	tie
242	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ac8d	KcQd	3h Th 2s 7s As	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Call|Fold|Fold|Raise:2.50	tie
243	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdAh	TcAc	5c 7c 8d 4h 2s	Raise:2.50	Call	-6.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	2	Raise:2.50|Call|Fold	Call|Call|Call|Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	loss
244	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6d4s	KcKd	2d 7d Jd 6h 9s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Fold|Fold|Call	tie
245	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KcJh	4c6d	3d 6h Ah 8s 9s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Fold|Call|Raise:2.50|Raise:2.50|Call	tie
246	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9d3h	AcJh	Tc Qc 3s Js Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Call|Call|Call	tie
247	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TcTd	QcAh	Ac 9d 8s Ts Ks	Raise:2.50	Raise:2.50	395.4000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	4	Raise:2.50|Call|Call|Call	Raise:2.50|Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Raise:54.90|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call	win
248	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cQd	Qh5s	2c 5c Jc 3d Kd	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Call|Call	tie
249	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2c2h	5c8d	Jc 3d 4d Qd 8s	Raise:2.50	Fold	-6.0000	hall-bootstrap-uniform	Tag	2	Raise:2.50|Fold	Fold|Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call	loss
250	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7dQh	Qc5h	2c 6d Jh 5s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Raise:2.50|Call	tie
251	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7sTs	Qc9s	Ac Qd Jh 3s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Fold|Call|Call|Call|Raise:2.50	tie
252	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3cJd	8dQd	7d 4h 5h Js Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Fold	tie
253	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c5s	Ad8s	8d 8h 9h Qh Ah	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Call|Call|Raise:2.50	tie
254	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6c8s	Jd2s	2c 9c 2h 4h 7h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Call	tie
255	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h6s	8sAs	5c 6c Jc 2h 2s	Call	Raise:2.50	-6.0000	hall-bootstrap-uniform	gto	2	Call|Fold	Raise:2.50|Call|Call|Raise:2.50|Call|Call|Call|Fold|Call|Call|Call|Check|Check|Check|Raise:2.50|Call|Call|Call	loss
256	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdJs	9cKd	8c Tc Ac Ad 5s	Raise:2.50	Fold	-6.0000	hall-bootstrap-uniform	Tag	2	Raise:2.50|Fold	Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call	loss
257	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd9s	8c7h	7c Kc Qd 6s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Call|Fold|Call|Call|Raise:2.50	tie
258	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9hKh	8hAs	2c 7c Kc 7d Jh	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Fold|Call|Raise:2.50|Call|Fold	tie
259	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h2s	2c6d	Jc Th 3s 5s 6s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Raise:2.50|Fold|Fold|Fold|Call|Fold	tie
260	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3d2h	Tc9h	4c 7c Jc 8h 5s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Call|Call|Call|Fold|Fold	tie
261	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9dJh	6c7h	3c 9c Qc 3d 8s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Call|Call	tie
262	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QhQs	2d4d	Ac 5d Td Kd Th	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	4	Raise:2.50|Call|Call|Fold	Call|Call|Fold|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call	loss
263	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jd3s	Th8s	2c 4c 9c 9d 9h	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Call|Call|Call|Call	tie
264	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7cJc	5h3s	5c 8c Tc 4d Qd	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Raise:2.50	tie
265	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6cQd	Jh7s	Jc Ac 9d 6h 2s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Call|Call	tie
266	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JcTh	7d8h	2c 8c Qc 7s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Call|Raise:2.50|Call|Call|Call	tie
267	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5d2h	KdQh	2c Qc 2d Th 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Raise:2.50|Call|Call|Call|Call	tie
268	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5cAc	8c4s	6c Kc Td Kd 4h	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	4	Raise:2.50|Call|Call|Fold	Call|Call|Raise:2.50|Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Check|Check|Raise:2.50|Call|Call|Call|Call|Fold|Check|Check|Check|Check|Raise:2.50	loss
269	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7d4h	5d5h	2c 9d Kd 6s 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Raise:2.50|Call|Call|Call	tie
270	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4hKh	Qd2h	4c 6c Td Jd 8h	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Raise:2.50	tie
271	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2dKd	2h8h	2c 7c Ac 3h 9h	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Call|Raise:2.50|Call	tie
272	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KcTh	Kd9s	4c 9c Ad 8h Kh	Fold	Fold	-0.0000	hall-bootstrap-uniform	Tag	1	Fold	Fold|Fold|Call|Raise:2.50|Raise:2.50|Call	tie
273	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8dKh	2cKd	Qc Kc 5h Th Ah	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Raise:2.50|Call|Fold|Call|Fold|Raise:2.50	tie
274	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Td3h	5c2h	Jc 4d 5h 9h Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Call|Call|Call|Call|Call|Call	tie
275	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7hTh	Ad6h	8c Ac Qd Qh Qs	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Call|Raise:2.50	tie
276	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3c5s	7cKh	5d Jd 8s Js Ks	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Raise:2.50|Fold|Raise:2.50|Call|Call	tie
277	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	JdQh	Kc9s	Qc 9h Th Jh 5s	Raise:2.50	Raise:2.50	-13.5000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	4	Raise:2.50|Call|Call|Call	Raise:2.50|Fold|Call|Fold|Fold|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Fold|Check|Check|Raise:2.50|Call|Call|Call|Raise:2.50|Call|Call|Call	loss
278	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5c2s	4d8s	6c Tc 2d 3d Ts	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Call|Call|Raise:2.50	tie
279	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QhKh	7d8h	5c Ad 5h 6h 7h	Raise:2.50	Fold	62.5000	hall-bootstrap-uniform	Tag	4	Raise:2.50|Call|Raise:2.50|Call|Call	Fold|Fold|Fold|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Check|Check|Check|Check|Check|Call|Call|Call|Call|Call|Raise:2.50|Call|Fold|Call|Call|Raise:2.50|Call|Call|Call	win
280	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	QhTs	JdAs	3d 4d 8d 9d 6s	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
281	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	KdQh	2d7d	Jc Qc Ac 3h 3s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Raise:2.50|Call|Raise:2.50|Fold|Fold|Call	tie
282	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	TcQh	4h8s	8c 7d 9d 3h Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Raise:2.50|Call|Fold|Fold|Call|Raise:2.50	tie
283	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	7hTh	5d4h	5c 8d Td 3s Ts	Raise:2.50	Call	-13.5000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	4	Raise:2.50|Call|Call|Call	Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Call|Call|Call|Check|Check|Check|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Fold|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Call	loss
284	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4c8h	6h7s	5c 6d Qd 5s Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Raise:2.50|Call|Call	tie
285	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Kd6s	8cKc	2h 3h Ah 7s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Call|Fold|Fold|Raise:2.50|Call	tie
286	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	8h9s	Qc5s	8c Ad 9h Th Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Call|Raise:2.50|Fold|Call|Call	tie
287	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5cTd	8d2h	8c 9c 5h 7h 3s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	1	Fold	Call|Call|Fold|Call|Call|Raise:2.50	tie
