hand	tableId	playerCount	heroPosition	villainPosition	openerPosition	foldedPositions	activePositions	maxLivePlayers	heroHole	villainHole	board	heroAction	villainAction	heroNet	modelId	archetype	streetsPlayed	heroActions	villainActions	outcome
96	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	2cKd	TsAs	Kc 6d 3h 4h 7s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	1	Fold	Call|Fold|Fold|Fold|Raise:2.50|Call	tie
97	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ad6s	Tc5h	5c 3d 2h 9s Qs	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Raise:2.50|Call|Call|Call|Call|Call	tie
98	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	3sAs	AcKh	5c 9d 6h 7h Th	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(passive-big-pots@0.3)	1	Fold	Call|Call|Raise:2.50|Fold|Fold|Fold	tie
99	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	5c9h	7dKd	3c 4c 3h Qh 8s	Fold	Raise:2.50	-0.0000	hall-bootstrap-uniform	Leak(overfold-river-aggression@0.2)	1	Fold	Raise:2.50|Fold|Call|Raise:2.50|Call|Call	tie
100	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Jc6s	Jd6h	Ac 7d Ah 8s Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Raise:2.50|Call|Call|Call|Fold	tie
101	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	Ah7s	QcKs	3d Td Kd Th Ts	Fold	Fold	-0.0000	hall-bootstrap-uniform	gto	1	Fold	Fold|Raise:2.50|Call|Raise:2.50|Call|Call	tie
102	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	4h6h	8c7s	Qc 2d 3d Kd 4s	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(overcall-big-bets@0.25)	1	Fold	Call|Call|Raise:2.50|Raise:2.50|Call|Call	tie
103	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9c9h	4dJh	4c 6d 7d 2h Ks	Raise:2.50	Call	-13.5000	hall-bootstrap-uniform	Leak(overbluff-turn-barrel@0.18)	4	Raise:2.50|Call|Call|Call|Call	Call|Call|Call|Call|Call|Fold|Call|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Check|Raise:2.50|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Call|Call|Call	loss
104	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	9sAs	Jc2s	9c 6d Qd Th 5s	Raise:2.50	Call	-11.0000	hall-bootstrap-uniform	Leak(preflop-too-loose@0.22)	4	Raise:2.50|Call|Call|Fold	Call|Call|Call|Fold|Raise:2.50|Call|Call|Call|Call|Call|Call|Call|Call|Raise:2.50|Call|Call|Call|Fold|Call|Call|Check|Check|Check|Check|Raise:2.50|Call|Fold|Call|Call|Call|Raise:2.50|Call|Call|Call|Call	loss
105	1	9	Button	UTG	UTG	-	UTG|UTG1|UTG2|Middle|Hijack|Cutoff|Button|SmallBlind|BigBlind	9	6dQh	6c8d	Kc Qd 6h Ah Js	Fold	Call	-0.0000	hall-bootstrap-uniform	Leak(preflop-too-tight@0.15)	1	Fold	Call|Fold|Fold|Raise:2.50|Raise:2.50|Call	tie
