hand	heroPosition	heroHole	board	winningsChips	winningsBb	decisions	villainObservations	action
37	BigBlind	7c5s	Qs6h4sKsJc	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
38	Button	5cAh	6d6c5s7h8s	-17800	-178.000	5	8	b300c/kb450c/kb1150c/kb1900b8900b15900c
39	BigBlind	5d4s	AhTh3d	3300	33.000	3	4	b200b300b1800b3300c/b3300f
40	Button	7cKc	KhTc2s	300	3.000	2	3	b300c/kb450f
41	BigBlind	Tc2s		50	0.500	0	1	f
42	Button	4c2d	Tc3h2cQd9h	20000	200.000	4	4	b250b750b1250b6750b12250c/b7750c//
43	BigBlind	TsKs	5s4c3c7s5c	-20000	-200.000	6	6	b200b450c/b450b1550b2650c/b3100b8900b14700b16900c/
44	Button	8hAh		100	1.000	1	1	b300f
45	BigBlind	8dJh	AcTs9s	300	3.000	2	3	b200b300c/b300f
46	Button	8c6d	Tc8s3s	1250	12.500	3	4	b250b750b1250c/kb1900f
47	BigBlind	6h7h		50	0.500	0	1	f
48	Button	Ah7s		100	1.000	1	1	b300f
49	BigBlind	3cQd	4d4c3d	2000	20.000	3	4	b200b300c/b450b1700b3750f
50	Button	Qd2s	QhTc2c	250	2.500	2	3	b250c/kb400f
51	BigBlind	7c7s	KcTd9h	450	4.500	2	3	b200b450c/b450f
52	Button	TdTs	AhQd8s	300	3.000	2	3	b300c/kb450f
53	BigBlind	7cJc		200	2.000	1	2	b200b300f
54	Button	AhKs		100	1.000	1	1	b300f
55	BigBlind	7h5s	8h3d3c	-6600	-66.000	4	4	b200b300b1800b3300c/b3300b16700f
56	Button	8sQs	AsKc7h	300	3.000	2	3	b300c/kb450f
57	BigBlind	Qd8s	Ks6d4c	300	3.000	2	3	b200b300c/b300f
58	Button	Ac8h	Kh4d2d	300	3.000	2	3	b300c/kb300f
59	BigBlind	4c7c	Js9d8c	300	3.000	2	3	b200b300c/b300f
60	Button	Jd8s		100	1.000	1	1	b300f
61	BigBlind	7hAh	QhTc6s	450	4.500	2	3	b200b450c/b450f
62	Button	9cQs	Jh9d2c4d	750	7.500	3	5	b300c/kb450c/kb1150f
63	BigBlind	6c6d		50	0.500	0	1	f
64	Button	3cQs		750	7.500	2	2	b250b750b1250f
65	BigBlind	9c5d	JhTd6d2s2c	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
66	Button	Td5s	KcQd3d9d	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
67	BigBlind	2d6h	QsQh7hAs5h	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
68	Button	AdJs		100	1.000	1	1	b300f
69	BigBlind	QhJs		200	2.000	1	2	b200b300f
70	Button	7dAd	9h9c5hQhQc	1500	15.000	4	7	b300c/kb450c/kb750c/kb2250f
71	BigBlind	5h4s		50	0.500	0	1	f
72	Button	Jc6d	KcJdTd	500	5.000	2	3	b250c/b250b800f
73	BigBlind	Jc3h	QsJh5d7sKd	-20000	-200.000	4	5	b200b300b1800b3300c/b4950c/b11750c/
74	Button	Jh9s	8h8c7dAdJd	-20000	-200.000	5	7	b300b900b1800c/b100b200c/b1600b3200c/b14800c
75	BigBlind	JsAs		200	2.000	1	2	b200b450f
76	Button	5c9c	Ks9s6c	3000	30.000	3	4	b250c/b250b800b2750b5800f
77	BigBlind	6dTh	Td7d4d	300	3.000	2	3	b200b300c/b450f
78	Button	7c8d	Jd7s4s	250	2.500	2	3	b250c/kb400f
79	BigBlind	ThJs	Jd8c5d	300	3.000	2	3	b200b300c/b450f
80	Button	5d9s		750	7.500	2	2	b250b750b1250f
81	BigBlind	Ac3h	AsJh9c	300	3.000	2	3	b200b300c/b450f
82	Button	JdQh		100	1.000	1	1	b300f
83	BigBlind	Jh3s	Kc6c2dQs8c	6000	60.000	5	6	b200b300c/b300b1500b2700c/b3000c/b6000f
84	Button	Kc7d		100	1.000	1	1	b300f
85	BigBlind	2sJs		200	2.000	1	2	b200b300f
86	Button	7sKs		100	1.000	1	1	b300f
87	BigBlind	7c6d	QdTc7dThQs	-20000	-200.000	4	4	b200b300b1800b3300c/b4950b16700c//
88	Button	Qd7s	7d6s2h	300	3.000	2	3	b300c/kb450f
89	BigBlind	9cKc	8s6s3s	450	4.500	2	3	b200b450c/b450f
90	Button	8c2s	Th8h4s6c7c	1650	16.500	4	7	b250c/kb400c/kb1000c/kb1650f
91	BigBlind	7cQs	AhKd6d9h	-6000	-60.000	5	5	b200b300c/b300c/b600b3000b5400b19400f
92	Button	TcQh		100	1.000	1	1	b300f
93	BigBlind	JdJh		50	0.500	0	1	f
94	Button	Td7h		750	7.500	2	2	b250b750b1250f
95	BigBlind	4cQd	8h4s3c	3300	33.000	3	4	b200b300b1800b3300c/b4950f
96	Button	7h8s	Qc9d3c	500	5.000	2	3	b250c/b250b500f
97	BigBlind	7d7h		50	0.500	0	1	f
98	Button	6cKh		100	1.000	1	1	b300f
99	BigBlind	8c5s	AdTs8h7c7s	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
100	Button	Qc7d	KsQs8d	600	6.000	2	3	b300c/b300b1000f
101	BigBlind	3c6s	QcTs8s9h5d	13200	132.000	5	6	b200b300b1800b3300c/b3300c/b6600c/b6800f
102	Button	9d9s		100	1.000	1	1	b300f
103	BigBlind	8c9h	Ts9d4h5h4d	0	0.000	5	5	b200b300c/b450c/b1150c/b2850b18100c
104	Button	Kd7s		100	1.000	1	1	b300f
105	BigBlind	Ad9h	ThTd2c7h3s	-20000	-200.000	5	5	b200b450b1800b3500c/b3500c/b7000b13000c/
106	Button	7d2s	8s6c5h	250	2.500	2	3	b250c/kb250f
107	BigBlind	8d8h		200	2.000	1	2	b200b450f
108	Button	3sQs		100	1.000	1	1	b250f
109	BigBlind	9d9s		200	2.000	1	2	b200b450f
110	Button	9sKs		100	1.000	1	1	b300f
111	BigBlind	2cTd		200	2.000	1	2	b200b300f
112	Button	KcTd		100	1.000	1	1	b300f
113	BigBlind	Kd8s		200	2.000	1	2	b200b300f
114	Button	QcQs	Ac9h4sAh7d	-4750	-47.500	4	7	b300c/kb450c/kb1150c/kb2850c
115	BigBlind	TdJs		200	2.000	1	2	b200b300f
116	Button	4cQh	Qc3d2h	250	2.500	2	3	b250c/kb400f
117	BigBlind	9c3h	KdTh3d3s4s	3750	37.500	4	5	b200b300c/b300c/b900c/b2250c
118	Button	2d7s	Kh9c3h	250	2.500	2	3	b250c/kb250f
119	BigBlind	8d6h	As9c7h	300	3.000	2	3	b200b300c/b300f
120	Button	4dKh	KdTc3s	300	3.000	2	3	b300c/kb450f
121	BigBlind	Jc6s	Qd6c2d	300	3.000	2	3	b200b300c/b450f
122	Button	Ad5h		900	9.000	2	2	b300b900b1800f
123	BigBlind	KdKs		200	2.000	1	2	b200b450f
124	Button	6dTh	Ac6c4c	1250	12.500	3	4	b250b750b1250c/kb1900f
125	BigBlind	3cKh	7d6h3dJs4c	8100	81.000	5	6	b200b300c/b450b1700b3750c/b4050c/b8100f
126	Button	5s9s	7c5c2h	250	2.500	2	3	b250c/kb400f
127	BigBlind	9d6s	Jd7d7c8d4s	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
128	Button	5c3s		100	1.000	1	1	b250f
129	BigBlind	9h3s	AcJh7h3c	600	6.000	3	4	b200b300c/b300c/b600f
130	Button	Ac7h	KcTd6s	300	3.000	2	3	b300c/kb300f
131	BigBlind	2hKh	Ts5c4hKs	3000	30.000	4	5	b200b300c/b300b1500b2700c/b4500f
132	Button	8h9h		100	1.000	1	1	b300f
133	BigBlind	5sJs	9d8s5h	300	3.000	2	3	b200b300c/b450f
134	Button	8d7h		100	1.000	1	1	b250f
135	BigBlind	Ad6s	AsKs8h	300	3.000	2	3	b200b300c/b450f
136	Button	4c6h	As6c4s	250	2.500	2	3	b250c/kb400f
137	BigBlind	2dTd	9d6s4d9hKh	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
138	Button	6cKh		100	1.000	1	1	b300f
139	BigBlind	7cJd	QcJc5h	300	3.000	2	3	b200b300c/b450f
140	Button	TsAs	JsJh3s	300	3.000	2	3	b300c/kb450f
141	BigBlind	8c5s		50	0.500	0	1	f
142	Button	6h7h	KdJh5h8sQd	1300	13.000	4	7	b250c/kb400c/kb650c/kb1300f
143	BigBlind	9hAh		200	2.000	1	2	b200b450f
144	Button	5cAd		100	1.000	1	1	b300f
145	BigBlind	5c9c	Js8d5h8h	750	7.500	3	4	b200b300c/b450c/b1150f
146	Button	4s6s		100	1.000	1	1	b250f
147	BigBlind	JcJd		200	2.000	1	2	b200b450f
148	Button	2c5d	KsTd9d	250	2.500	2	3	b250c/kb250f
149	BigBlind	5sJs	Jc7c6d	300	3.000	2	3	b200b300c/b450f
150	Button	2d7h	Js7c2c	250	2.500	2	3	b250c/kb400f
151	BigBlind	QcKc		200	2.000	1	2	b200b450f
152	Button	5dJh	8c7h2c7cJs	-18550	-185.500	5	8	b250c/b250b500c/kb750c/kb2250b7500b17050c
153	BigBlind	6d7s	7d7c4d	300	3.000	2	3	b200b300c/b450f
154	Button	Jc7h		100	1.000	1	1	b250f
155	BigBlind	3cQs	Js6c4dKh7h	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
156	Button	9c5h		100	1.000	1	1	b250f
157	BigBlind	TcJc		50	0.500	0	1	f
158	Button	9dJd		100	1.000	1	1	b300f
159	BigBlind	5cJs	9c7d2h3sKh	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
160	Button	2d6h	As7c4h	250	2.500	2	3	b250c/kb250f
161	BigBlind	7c2s	QcTd3d5d	-13200	-132.000	5	5	b200b300b1800b3300c/b3300c/b6600b13400f
162	Button	6dQh	Ah4d2d	1800	18.000	3	4	b300b900b1800c/kb1800f
163	BigBlind	2c8c	Tc9c3h5d6h	3600	36.000	5	6	b200b300c/b300b900b1500c/b1800c/b3600f
164	Button	7c9c	AdJc2s	250	2.500	2	3	b250c/kb250f
165	BigBlind	5h6h		50	0.500	0	1	f
166	Button	Qc9d		900	9.000	2	2	b300b900b1800f
167	BigBlind	2hQh	AcQcJs2dAs	1500	15.000	4	5	b200b300c/b300c/b900c/b2250f
168	Button	5hKs		100	1.000	1	1	b300f
169	BigBlind	JdKs	Qh9s6s	450	4.500	2	3	b200b450c/b450f
170	Button	8d4h		750	7.500	2	2	b250b750b1250f
171	BigBlind	8h8s		50	0.500	0	1	f
172	Button	7h3s	Ad7d6hKd	1050	10.500	3	5	b250c/b250b800c/kb1600f
173	BigBlind	8h8s		50	0.500	0	1	f
174	Button	Qd3s	6s4h2h	250	2.500	2	3	b250c/kb250f
175	BigBlind	Kh3s		200	2.000	1	2	b200b300f
176	Button	AcTs		100	1.000	1	1	b300f
177	BigBlind	9d8s	7h6d2c	3300	33.000	3	4	b200b300b1800b3300c/b3300f
178	Button	8hTs	AsKhTd	250	2.500	2	3	b250c/kb400f
179	BigBlind	4d6h	7h3s3cKc4h	-20000	-200.000	6	6	b200b300c/b300b900b1500c/b1800c/b5400b16400c
180	Button	QdQh		100	1.000	1	1	b300f
181	BigBlind	4d2s	Ks9s5h	300	3.000	2	3	b200b300c/b300f
182	Button	4sQs		100	1.000	1	1	b300f
183	BigBlind	JcKs	7d2d2c7h5d	-20000	-200.000	5	5	b200b450b1800b3500c/b3500c/b7000b13000c/
184	Button	AcKh	Ks3h3cJc	750	7.500	3	5	b300c/kb450c/kb1150f
185	BigBlind	3dQs	7s5d4d	1200	12.000	3	4	b200b300c/b300b900b1500f
186	Button	6cQd	Kh9c5s6h3s	3750	37.500	4	7	b300c/kb300c/kb900c/kb2250c
187	BigBlind	Qc2s	JdTh2d9s	600	6.000	3	4	b200b300c/b300c/b600f
188	Button	3d9h	AsJh7h6s6h	-10250	-102.500	5	7	b250b750b1250c/b3250b6500c/b1250b2500c/b9750f
189	BigBlind	Ac8s	QsJdThAd6c	1800	18.000	4	5	b200b450c/b450c/b900c/b1800f
190	Button	9c8d	AcKs4dTc3d	-4500	-45.000	4	7	b250c/kb250c/b500b1000c/b1500b3000c
191	BigBlind	JhQh	9d7c2s4c	-5400	-54.000	5	5	b200b450c/b450b1350b2250c/b2700b17300f
192	Button	9c4d		100	1.000	1	1	b250f
193	BigBlind	4d5s	KcJhTd4h8s	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
194	Button	3dTh	KcJc5s8s4h	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
195	BigBlind	5c7c	KdKc2d4d	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
196	Button	JhQs	Qc5d2h	300	3.000	2	3	b300c/kb450f
197	BigBlind	4c8h	6h6d4h	300	3.000	2	3	b200b300c/b450f
198	Button	5c9c		100	1.000	1	1	b250f
199	BigBlind	KdTh		50	0.500	0	1	f
200	Button	3sJs	Jd8s5c	250	2.500	2	3	b250c/kb400f
201	BigBlind	Jc5s	Kc7d3s3cJs	-3000	-30.000	4	5	b200b300c/b300c/b600c/b1800c
202	Button	Kh9s	KdKc2c	300	3.000	2	3	b300c/kb450f
203	BigBlind	6dJd		200	2.000	1	2	b200b300f
204	Button	3d2s		750	7.500	2	2	b250b750b1250f
205	BigBlind	8hKh		50	0.500	0	1	f
206	Button	Kc7s	Th5d2sAs6s	-20000	-200.000	4	4	b300b900b1800b8100b15550c/b4450c//
207	BigBlind	9d2s		200	2.000	1	2	b200b300f
208	Button	9c3s	Js8h7h	1250	12.500	3	4	b250b750b1250c/kb1250f
209	BigBlind	8dAd	Kd7s5sQh	900	9.000	3	4	b200b450c/b450c/b900f
210	Button	8c2s		100	1.000	1	1	b250f
211	BigBlind	2c9d	AhQsQh7s4h	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
212	Button	4d4s		900	9.000	2	2	b300b900b1800f
213	BigBlind	KhAh		200	2.000	1	2	b200b450f
214	Button	4cAh	Kc7d2s	300	3.000	2	3	b300c/kb300f
215	BigBlind	5cTc	Th9s3d	300	3.000	2	3	b200b300c/b450f
216	Button	7cJs		750	7.500	2	2	b250b750b1250f
217	BigBlind	5d8d	Ac5c2h3c8c	4500	45.000	5	6	b200b300c/b450c/b750b2250b3750c/b6750f
218	Button	Kc4d		100	1.000	1	1	b300f
219	BigBlind	5h3s		200	2.000	1	2	b200b300f
220	Button	JdQd	AsJh3s	1800	18.000	3	4	b300b900b1800c/kb2700f
221	BigBlind	7cTd	Ks8h6s3h	600	6.000	3	4	b200b300c/b300c/b600f
222	Button	8c9d	7h5h4s3h	3750	37.500	4	6	b250c/b250b500b2000b3500c/kb3750f
223	BigBlind	2c9d	Kc8c3d7cAs	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
224	Button	2c4h	Jh9s9c6d4s	5000	50.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb7500f
225	BigBlind	3dQs	QhQd2s	300	3.000	2	3	b200b300c/b450f
226	Button	TdJd	7s4h3sAc	2000	20.000	4	6	b300b900b1800c/b100b200c/kb2000f
227	BigBlind	4c3d	Th9d5d	300	3.000	2	3	b200b300c/b300f
228	Button	ThJh		100	1.000	1	1	b300f
229	BigBlind	Jc7s	Jh8d4h8s	750	7.500	3	4	b200b300c/b450c/b1150f
230	Button	3s6s	Kc9c2d	1250	12.500	3	4	b250b750b1250c/kb1250f
231	BigBlind	7s8s	Kh8h8d2h3d	-20000	-200.000	5	6	b200b300c/b450c/b1150b3250b7700c/b11550c
232	Button	9d6s		100	1.000	1	1	b250f
233	BigBlind	7cTd		200	2.000	1	2	b200b300f
234	Button	2c5h	Ad4d3h	500	5.000	2	3	b250c/b250b800f
235	BigBlind	9hTs	KhQh2c8dTh	-20000	-200.000	6	6	b200b300c/b300b1500b2700c/b3000c/b6000b14000c
236	Button	6cJs	Ad9s2c7h	500	5.000	3	5	b250c/kb250c/kb500f
237	BigBlind	Ah5s	9d4s3s5c	750	7.500	3	4	b200b300c/b450c/b1150f
238	Button	9c2h	Jc6d3dQs9s	-20000	-200.000	5	8	b250b750b1250c/b250b500c/b2750b5500c/b1750b12750c
239	BigBlind	2d9h	AsJh6cKd	600	6.000	3	4	b200b300c/b300c/b600f
240	Button	TcAc		100	1.000	1	1	b300f
241	BigBlind	4h9h	Kc8c6c	300	3.000	2	3	b200b300c/b300f
242	Button	6d5s	AcJh8h	500	5.000	2	3	b250c/b250b500f
243	BigBlind	4sTs	Ah9s5h	300	3.000	2	3	b200b300c/b300f
244	Button	2c7h		100	1.000	1	1	b250f
245	BigBlind	7d8s	Tc8d3d	300	3.000	2	3	b200b300c/b450f
246	Button	8cQs		900	9.000	2	2	b300b900b1800f
247	BigBlind	2d6s	AsJd9c9s	600	6.000	3	4	b200b300c/b300c/b600f
248	Button	9dTh		750	7.500	2	2	b250b750b1500f
249	BigBlind	7c7d	JhJdTs	450	4.500	2	3	b200b450c/b450f
250	Button	3hTh	KsKc4d	250	2.500	2	3	b250c/kb250f
251	BigBlind	4d5d		200	2.000	1	2	b200b300f
252	Button	6cTs	ThTd5c4s	3550	35.500	4	6	b250b750b1250c/b250b2300c/kb5350f
253	BigBlind	5h5s	JdJc9d	3500	35.000	3	4	b200b450b1800b3500c/b3500f
254	Button	JcQd		100	1.000	1	1	b300f
255	BigBlind	7cTd	Ah7s7d	300	3.000	2	3	b200b300c/b450f
256	Button	4dAd	AhQc3h	1800	18.000	3	4	b300b900b1800c/kb2700f
257	BigBlind	KsAs	KhTc3h	450	4.500	2	3	b200b450c/b700f
258	Button	5dTh	AsJsJc4h	2500	25.000	4	6	b250b750b1250c/kb1250c/kb2500f
259	BigBlind	6cAc	8d7h4cAd	900	9.000	3	4	b200b450c/b450c/b1350f
260	Button	5cQd	5h3d2c6c	650	6.500	3	5	b250c/kb400c/kb1000f
261	BigBlind	4hAh	7s4s3c	3500	35.000	3	4	b200b450b1800b3500c/b5250f
262	Button	QcQs		100	1.000	1	1	b300f
263	BigBlind	Kc2d		200	2.000	1	2	b200b300f
264	Button	Kh2s	AcJc4d	300	3.000	2	3	b300c/kb300f
265	BigBlind	3d4s	4c3h2hJd	3700	37.000	4	5	b200b300c/b450b1500b3400c/b5550f
266	Button	4c5c	6h5d2s4d	3150	31.500	4	6	b250b750b1250c/kb1900c/kb4750f
267	BigBlind	4c9d	AcTc2s5s	600	6.000	3	4	b200b300c/b300c/b600f
268	Button	Qc9h		100	1.000	1	1	b300f
269	BigBlind	JdTh	8s7s5s	300	3.000	2	3	b200b300c/b300f
270	Button	Kc7d	Ac9d9c8s	750	7.500	3	5	b300c/kb450c/kb750f
271	BigBlind	JhAh	As8d6d	450	4.500	2	3	b200b450c/b700f
272	Button	4c8c	AhQs4sAdKd	1650	16.500	4	7	b250c/kb400c/kb1000c/kb2500f
273	BigBlind	3d7s	5h3c2c	300	3.000	2	3	b200b300c/b450f
274	Button	5c5s		900	9.000	2	2	b300b900b1800f
275	BigBlind	Kc5h	8s5s5c	300	3.000	2	3	b200b300c/b450f
276	Button	5c3s	JhTs9c6dQs	5000	50.000	5	8	b250b750b1250c/kb1250c/kb2500c/kb5000f
277	BigBlind	TcQc	KcQs7dJc	1150	11.500	3	4	b200b450c/b700c/b1750f
278	Button	Jd3s	Kc6d5hQsTh	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
279	BigBlind	6s8s	Th8d4cTs	750	7.500	3	4	b200b300c/b450c/b1150f
280	Button	8c2h	QdTd2cKc7d	1300	13.000	4	7	b250c/kb400c/kb650c/kb1300f
281	BigBlind	Th3s		1800	18.000	2	3	b200b300b1800b3300f
282	Button	5c2d		100	1.000	1	1	b250f
283	BigBlind	3hKs	3s2s2d	3300	33.000	3	4	b200b300b1800b3300c/b4950f
284	Button	4c4h	KsJh2c	300	3.000	2	3	b300c/kb450f
285	BigBlind	9c5h	Qs5s3sThQc	-13250	-132.500	5	6	b200b300c/b450b900b2350c/b2650c/b7950c
286	Button	Td5h	8s7c5dJh2h	20000	200.000	4	3	b250b750b1250b6750b12250b20000c///
287	BigBlind	Kc2h	Ac9s5c	300	3.000	2	3	b200b300c/b300f
288	Button	Ad5s		100	1.000	1	1	b300f
289	BigBlind	3cAh	KhKd6s	300	3.000	2	3	b200b300c/b300f
290	Button	7d9s	Kh9d3c5s	650	6.500	3	5	b250c/kb400c/kb1000f
291	BigBlind	JcKh		200	2.000	1	2	b200b450f
292	Button	9c8d	Tc9h4hQdAd	3100	31.000	4	7	b250c/kb400c/b850b2450c/kb4650f
293	BigBlind	8c5s	AcKd4h	300	3.000	2	3	b200b300c/b300f
294	Button	TdAd		100	1.000	1	1	b300f
295	BigBlind	7c9c		200	2.000	1	2	b200b300f
296	Button	8cKc	As4d3dJh	600	6.000	3	5	b300c/kb300c/kb600f
297	BigBlind	9h6s		200	2.000	1	2	b200b300f
298	Button	3d2s	KdQd2d	250	2.500	2	3	b250c/kb400f
299	BigBlind	Qc4d	Qs5c3d	1800	18.000	3	4	b200b300c/b450b1500b3400f
300	Button	4d4h	8h6d2c	1900	19.000	3	4	b300b900b1800c/b100b2900f
301	BigBlind	Ac7s	9h5c2c	300	3.000	2	3	b200b300c/b300f
302	Button	2d5h	KhKd7d	250	2.500	2	3	b250c/kb250f
303	BigBlind	6cKh	QdJs8d	300	3.000	2	3	b200b300c/b300f
304	Button	8cQh	Ah9d8d	300	3.000	2	3	b300c/kb450f
305	BigBlind	3dTs	AcKs8h	300	3.000	2	3	b200b300c/b300f
306	Button	8d9d		900	9.000	2	2	b300b900b1800f
307	BigBlind	2c8d	8h7d4c	300	3.000	2	3	b200b300c/b450f
308	Button	4dTh		100	1.000	1	1	b250f
309	BigBlind	3h4h	7c4d2s3d	750	7.500	3	4	b200b300c/b450c/b1150f
310	Button	3h4s		100	1.000	1	1	b250f
311	BigBlind	6c8d		200	2.000	1	2	b200b300f
312	Button	4dKd		100	1.000	1	1	b300f
313	BigBlind	4d2h	8c5d4s3h	3700	37.000	4	5	b200b300c/b450b1500b3400c/b5550f
314	Button	4dAs		100	1.000	1	1	b300f
315	BigBlind	6c5h	KcJh8d	300	3.000	2	3	b200b300c/b300f
316	Button	7dTs	AhJc9dKd8c	20000	200.000	5	5	b250b750b1250c/b250b500b5500b10500b18750c//
317	BigBlind	TsJs		50	0.500	0	1	f
318	Button	5hKs		100	1.000	1	1	b300f
319	BigBlind	2c4c	AcTs7c8s9h	-20000	-200.000	5	5	b200b300b1800b3300c/b3300c/b6600b13400c/
320	Button	Ac4d	AdQd5c8s	750	7.500	3	5	b300c/kb450c/kb1150f
321	BigBlind	2s3s	AsQsJs	300	3.000	2	3	b200b300c/b450f
322	Button	Jd5s	Ac7d2c	500	5.000	2	3	b250c/b250b500f
323	BigBlind	Td6h	5h4c3dThQh	-20000	-200.000	5	6	b200b300b1800b3300c/b3300c/b9900c/b3500c
324	Button	AhKs	AdKhTh4c8d	4750	47.500	4	7	b300c/kb450c/kb1150c/kb2850c
325	BigBlind	2s7s		50	0.500	0	1	f
326	Button	6d5h	KdQs7dQdKh	-3000	-30.000	4	7	b250c/kb250c/b500b1000c/kb1500c
327	BigBlind	5h3s	AcJc9cTs7h	-7200	-72.000	5	6	b200b300c/b300c/b600c/b1200b3600b6000c
328	Button	5c5h	AhQsQc9s3h	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
329	BigBlind	KdQh		200	2.000	1	2	b200b450f
330	Button	8c4d	7c5d4c3cJd	-17800	-178.000	5	8	b250b750b1250c/b250b2300c/kb5350c/kb8900c
331	BigBlind	9c9d	8c7h5h3d	1150	11.500	3	4	b200b450c/b700c/b1750f
332	Button	3c8h	KsJh2d3dAc	-20000	-200.000	6	8	b250b750b1250c/kb1250c/kb3750c/kb6250b13750c
333	BigBlind	2d7h	AcKcJs	300	3.000	2	3	b200b300c/b300f
334	Button	6cQs		900	9.000	2	2	b300b900b1800f
335	BigBlind	6h7h	8d3h3d	300	3.000	2	3	b200b300c/b300f
336	Button	2hKs		100	1.000	1	1	b300f
337	BigBlind	Ac9d		50	0.500	0	1	f
338	Button	KcTh		100	1.000	1	1	b300f
339	BigBlind	5h3s		200	2.000	1	2	b200b300f
340	Button	Qc5s	8h5d4c9hJs	1900	19.000	4	7	b300c/kb450c/kb1150c/kb2850f
341	BigBlind	Kd4h	JhTd2c3h4d	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
342	Button	KhTs	AsAd6dQs2d	-20000	-200.000	5	6	b300c/b300b1000b3300b7000c/b100b11150b12700c/
343	BigBlind	8sAs		200	2.000	1	2	b200b450f
344	Button	3hTs	KsTh4d	1500	15.000	3	4	b250b750b1250c/b250b2300f
345	BigBlind	2h9s	Ks8c4d	300	3.000	2	3	b200b300c/b300f
346	Button	ThKh		100	1.000	1	1	b300f
347	BigBlind	Tc3d	KsKhQc8sJs	-7200	-72.000	5	6	b200b300c/b300c/b600c/b1200b3600b6000c
