hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
823	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
824	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
824	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
824	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
824	4	River	Button	33.000	0.000	183.500	Check,Raise:16.50,Raise:25.00	Raise:25.00	b2500
825	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
826	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
826	2	Flop	Button	7.500	2.500	197.500	Fold,Call,Raise:2.50,Raise:5.50	Raise:2.50	b500
827	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
827	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
827	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
828	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
828	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
828	3	Turn	Button	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
828	4	River	Button	38.000	0.000	181.000	Check,Raise:19.00,Raise:28.50	Raise:28.50	b2850
829	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
829	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
829	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
830	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
831	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
831	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:7.00	b700
832	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
833	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
833	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
834	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
834	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
834	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:6.50	b650
835	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
835	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:16.00	b3400
836	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
836	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
836	3	Flop	Button	35.000	10.000	187.500	Fold,Call,Raise:10.00,Raise:26.50	Raise:26.50	b3650
837	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
837	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
837	3	Flop	BigBlind	66.000	0.000	167.000	Check,Raise:33.00,Raise:49.50	Raise:33.00	b3300
838	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
838	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
839	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
839	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
840	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
840	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
840	3	Flop	Button	36.000	0.000	182.000	Check,Raise:18.00,Raise:27.00	Raise:27.00	b2700
840	4	Turn	Button	126.000	36.000	155.000	Fold,Call,Raise:36.00,Raise:94.50	Raise:94.50	b13050
840	5	Turn	Button	375.500	24.500	24.500	Fold,Call	Call	c
841	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
841	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
841	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
841	4	River	BigBlind	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Raise:12.00	b1200
842	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
843	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
843	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
843	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
843	4	River	BigBlind	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Raise:12.00	b1200
844	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
844	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:5.00	b1250
845	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
845	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
845	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
845	4	River	BigBlind	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Raise:12.00	b1200
846	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
847	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
847	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
847	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
847	4	River	BigBlind	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Raise:18.00	b1800
848	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
848	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
848	3	Turn	Button	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
849	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
849	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
850	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
851	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
851	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
852	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
852	2	Preflop	Button	12.000	6.000	197.000	Fold,Call,Raise:6.00,Raise:9.00	Raise:9.00	b1800
852	3	Preflop	Button	99.000	63.000	182.000	Fold,Call,Raise:63.00,Raise:74.50	Raise:74.50	b15550
852	4	Preflop	Button	355.500	44.500	44.500	Fold,Call	Call	c
853	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
853	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
854	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
855	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
855	2	Preflop	BigBlind	21.000	15.000	197.000	Fold,Call,Raise:15.00,Raise:16.00	Raise:15.00	b3300
855	3	Preflop	BigBlind	233.000	167.000	167.000	Fold,Call	Fold	f
856	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
856	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
856	3	Turn	Button	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
856	4	River	Button	38.000	0.000	181.000	Check,Raise:19.00,Raise:28.50	Raise:19.00	b1900
857	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
858	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
859	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
859	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
859	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
860	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
860	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
860	3	Turn	Button	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
861	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
861	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
861	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
862	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
862	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
863	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
863	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Raise:4.50	b450
863	3	Turn	BigBlind	18.000	0.000	191.000	Check,Raise:9.00,Raise:13.50	Raise:9.00	b900
863	4	River	BigBlind	36.000	0.000	182.000	Check,Raise:18.00,Raise:27.00	Raise:18.00	b1800
864	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
864	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
865	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
865	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
866	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
866	2	Flop	Button	7.500	2.500	197.500	Fold,Call,Raise:2.50,Raise:5.50	Raise:2.50	b500
866	3	Turn	Button	22.500	7.500	192.500	Fold,Call,Raise:7.50,Raise:17.00	Raise:7.50	b1500
866	4	Turn	Button	157.500	112.500	177.500	Fold,Call,Raise:65.00	Raise:65.00	b19250
867	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
867	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
867	3	Turn	BigBlind	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
867	4	River	BigBlind	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Raise:12.00	b1200
868	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
868	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
868	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
868	4	River	Button	33.000	0.000	183.500	Check,Raise:16.50,Raise:25.00	Raise:16.50	b1650
868	5	River	Button	135.000	69.000	167.000	Fold,Call,Raise:69.00,Raise:98.00	Raise:69.00	b15450
869	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
869	2	Flop	BigBlind	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:4.50	b450
869	3	Turn	BigBlind	15.000	0.000	192.500	Check,Raise:7.50,Raise:11.50	Raise:11.50	b1150
869	4	River	BigBlind	38.000	0.000	181.000	Check,Raise:19.00,Raise:28.50	Raise:28.50	b2850
870	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
870	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
871	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
872	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
872	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:4.00	b400
872	3	Turn	Button	13.000	0.000	193.500	Check,Raise:6.50,Raise:10.00	Raise:10.00	b1000
873	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:1.00	b300
