hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4233	BigBlind	7c8d	2d6s		50	0.500	0	1	f
4234	Button	9h4s	8d5h	KcQh9c	250	2.500	2	3	b250c/kb400f
4235	BigBlind	2hQh	JcQc	9d4d2c	3300	33.000	3	4	b200b300b1800b3300c/b4950f
4236	Button	7d8d	Jc6d	9d5c4d	250	2.500	2	3	b250c/kb400f
4237	BigBlind	9dJs	2hAh	AsTsTc9h	600	6.000	3	4	b200b300c/b300c/b600f
4238	Button	2h9s	5cQd	6c3d2s	250	2.500	2	3	b250c/kb400f
4239	BigBlind	2h5h	7sAs	Ah7c5s8d5c	1500	15.000	4	5	b200b300c/b450c/b750c/b2250f
4240	Button	2d9s	8cJs	8s3d2hQsAd	-3300	-33.000	4	7	b250c/kb400c/kb1000c/kb1650c
4241	BigBlind	3h9h	Jd4s	7d5h3c	300	3.000	2	3	b200b300c/b450f
4242	Button	4d2s	7dTs	9h9c2d	250	2.500	2	3	b250c/kb400f
4243	BigBlind	Kc9h	KhKs	Qs8d6dTs8c	-20000	-200.000	3	3	b200b300b1800b3300b20000c///
4244	Button	2d6d	9dQd	AdTs7s	500	5.000	2	3	b250c/b250b500f
4245	BigBlind	2c9h	9d6s		200	2.000	1	2	b200b300f
4246	Button	9d3s	8c2s		100	1.000	1	1	b250f
4247	BigBlind	TsJs	5d6d	Kd5h5cKh4d	-7200	-72.000	5	6	b200b300c/b300c/b600b1800b3000c/b3600c
4248	Button	6c3d	9hQs	AdTc6d	250	2.500	2	3	b250c/kb400f
4249	BigBlind	3h6h	5cTs	As7s3c	300	3.000	2	3	b200b300c/b300f
4250	Button	3c8s	Qh2s	Qs9c3s6dKc	-2600	-26.000	4	7	b250c/kb400c/kb650c/kb1300c
4251	BigBlind	Tc3s	7c5d	QcJd4d	300	3.000	2	3	b200b300c/b300f
4252	Button	5c6s	7dJd	Jh4s3s9h	-4250	-42.500	5	6	b250b750b1250c/b250b500c/b1250b2500b18250f
4253	BigBlind	9d4s	KcQs	7h3s2dJh	600	6.000	3	4	b200b300c/b300c/b600f
4254	Button	8cJd	8d4h		100	1.000	1	1	b300f
4255	BigBlind	7sAs	7c3h		50	0.500	0	1	f
4256	Button	9c2s	8h3s		100	1.000	1	1	b250f
4257	BigBlind	7c6d	5h5s	Jd5d5cJs3c	-12000	-120.000	6	6	b200b300c/b300c/b600b3000b5400c/b6000b14000f
4258	Button	4cQh	3c8c	Jd5c2d	250	2.500	2	3	b250c/kb250f
4259	BigBlind	8cKd	4c3d		200	2.000	1	2	b200b300f
4260	Button	6h7s	3c9d		100	1.000	1	1	b250f
4261	BigBlind	8c5h	AhKs	QdQcJh	-6600	-66.000	4	4	b200b300b1800b3300c/b3300b16700f
4262	Button	ThQs	9dTd	AsQc9s	300	3.000	2	3	b300c/kb450f
4263	BigBlind	3d5h	2c6c		200	2.000	1	2	b200b300f
4264	Button	9c3h	5c5s	6s5h2sQc	-6500	-65.000	5	6	b250b750b1250c/kb1250c/b2000b4000b17500f
4265	BigBlind	9dTh	QdTs	KhKc4hKd2c	3600	36.000	5	6	b200b300c/b300c/b600b1800b3000c/b3600f
4266	Button	3c6c	Td9s	7h5s4s	500	5.000	2	3	b250c/b250b800f
4267	BigBlind	3c6c	6sTs	KhJs4s	-6600	-66.000	4	4	b200b300b1800b3300c/b3300b16700f
4268	Button	7cTs	5c6s	Kh5h3dKd6h	-2000	-20.000	4	7	b250c/kb250c/kb500c/kb1000c
4269	BigBlind	Qc3d	9c6h	AsTc6c	300	3.000	2	3	b200b300c/b300f
4270	Button	7s9s	4d2s		100	1.000	1	1	b250f
4271	BigBlind	JhQs	4c2s		50	0.500	0	1	f
4272	Button	Ac5d	3c4h		100	1.000	1	1	b300f
4273	BigBlind	7d8h	Qd5s	Qh5d3h6h7s	3600	36.000	5	6	b200b300c/b300b900b1500c/b1800c/b5400f
4274	Button	2d6d	Qd3s	AsKc9h	250	2.500	2	3	b250c/kb250f
4275	BigBlind	5cJh	7h4s		50	0.500	0	1	f
4276	Button	4c8s	Td4h	5s4d2c5c	650	6.500	3	5	b250c/kb400c/kb1000f
4277	BigBlind	6c9d	9c4d		200	2.000	1	2	b200b300f
4278	Button	Kh4s	3dAs	Jd4h2hKd	750	7.500	3	5	b300c/kb450c/kb1150f
4279	BigBlind	5c5h	5d2h		50	0.500	0	1	f
4280	Button	TdKd	4d8s		100	1.000	1	1	b300f
4281	BigBlind	6h8h	3d8s		50	0.500	0	1	f
4282	Button	4h6h	8s9s	Kh7d3dQh	1750	17.500	4	6	b250b750b1250c/b250b500c/kb1750f
4283	BigBlind	5dKd	7cQh	Kc9s6c	300	3.000	2	3	b200b300c/b450f
4284	Button	9h7s	5c5s	KsQs9c	1250	12.500	3	4	b250b750b1250c/kb1900f
4285	BigBlind	JhAh	6h8h	Td7h6c4sTs	-10800	-108.000	5	6	b200b450c/b450c/b900b2700b4500c/b5400c
4286	Button	9c5d	JdKd	5s4s4d9s	3150	31.500	4	6	b250b750b1250c/kb1900c/kb4750f
4287	BigBlind	4c8c	9c6s	Kd7h3s	300	3.000	2	3	b200b300c/b300f
4288	Button	2dTs	7c4d		100	1.000	1	1	b250f
4289	BigBlind	TdAh	Qd9h	Qc6c3c9d8h	5400	54.000	5	6	b200b450c/b450c/b900b2700b4500c/b5400f
4290	Button	2d4h	6cKs	KdJc9c8c5h	1000	10.000	4	7	b250c/kb250c/kb500c/kb1000f
4291	BigBlind	3c9c	4hAs	Ah4c3h2dJd	-20000	-200.000	4	4	b200b300c/b450b2400b5000b19700c//
4292	Button	Ac5s	9c9s	JdTd3hJsQd	1200	12.000	4	7	b300c/kb300c/kb600c/kb1200f
4293	BigBlind	2h4h	3h5h	Ad6s4s8hJd	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4294	Button	TcTh	5h5s	Ks9s3sAs	750	7.500	3	5	b300c/kb450c/kb750f
