hand	decisionIndex	street	heroPosition	potBeforeBb	toCallBb	stackBb	candidates	chosenAction	apiAction
28	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
28	2	Preflop	Button	10.000	5.000	197.500	Fold,Call,Raise:5.00,Raise:7.50	Raise:7.50	b1500
28	3	Flop	Button	31.000	1.000	185.000	Fold,Call,Raise:1.00,Raise:23.50	Call	c
28	4	Turn	Button	32.000	0.000	184.000	Check,Raise:16.00,Raise:24.00	Check	k
28	5	River	Button	32.000	0.000	184.000	Check,Raise:16.00,Raise:24.00	Check	k
29	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
29	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:2.00	b200
29	3	Flop	BigBlind	12.000	4.000	196.000	Fold,Call,Raise:4.00,Raise:9.00	Raise:9.00	b1500
30	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
30	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
30	3	Turn	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Raise:5.00	b500
31	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
31	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
31	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
31	4	Turn	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
32	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
34	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
35	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
35	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
35	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
36	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
36	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
37	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
37	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
37	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
38	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
38	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Raise:1.00	b100
39	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
39	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
39	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
39	4	Turn	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
40	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
40	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
41	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
41	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
41	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
41	4	Turn	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
42	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
42	2	Preflop	Button	4.000	2.000	199.000	Fold,Call,Raise:2.00,Raise:3.00	Raise:3.00	b600
42	3	Flop	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
42	4	Turn	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
42	5	River	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
44	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
44	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
45	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
45	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
45	3	Flop	BigBlind	6.000	2.000	198.000	Fold,Call,Raise:2.00,Raise:4.50	Fold	f
46	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
46	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
46	3	Turn	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Raise:6.00	b600
46	4	River	Button	24.000	0.000	188.000	Check,Raise:12.00,Raise:18.00	Check	k
47	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
47	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
47	3	Turn	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
47	4	Turn	BigBlind	16.500	7.500	195.500	Fold,Call,Raise:7.50,Raise:12.50	Fold	f
48	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
48	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
48	3	Turn	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
48	4	River	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
49	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
49	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:2.00	b200
50	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
50	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Check	k
50	3	Turn	Button	9.000	3.000	197.000	Fold,Call,Raise:3.00,Raise:7.00	Raise:7.00	b1000
50	4	River	Button	26.000	0.000	187.000	Check,Raise:13.00,Raise:19.50	Check	k
51	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
51	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:3.00	b300
52	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
53	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
53	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:2.00	b200
53	3	Turn	BigBlind	8.000	0.000	196.000	Check,Raise:4.00,Raise:6.00	Raise:4.00	b400
53	4	River	BigBlind	16.000	0.000	192.000	Check,Raise:8.00,Raise:12.00	Check	k
54	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
55	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
55	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
55	3	Turn	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
55	4	River	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Check	k
56	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
57	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
57	2	Preflop	BigBlind	22.500	13.500	195.500	Fold,Call,Raise:13.50,Raise:17.00	Raise:17.00	b3500
57	3	Flop	BigBlind	70.000	0.000	165.000	Check,Raise:35.00,Raise:52.50	Raise:52.50	b5250
58	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:1.50	b250
58	2	Flop	Button	5.000	0.000	197.500	Check,Raise:2.50,Raise:4.00	Raise:2.50	b250
58	3	Turn	Button	10.000	0.000	195.000	Check,Raise:5.00,Raise:7.50	Raise:5.00	b500
59	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
59	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
59	3	Turn	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
59	4	Turn	BigBlind	10.000	1.000	195.500	Fold,Call,Raise:1.00,Raise:7.50	Fold	f
60	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Call	c
60	2	Flop	Button	2.000	0.000	199.000	Check,Raise:1.00,Raise:1.50	Raise:1.00	b100
61	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Raise:2.50	b450
61	2	Flop	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
61	3	Turn	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
61	4	River	BigBlind	9.000	0.000	195.500	Check,Raise:4.50,Raise:7.00	Check	k
62	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
62	2	Flop	Button	6.000	0.000	197.000	Check,Raise:3.00,Raise:4.50	Raise:3.00	b300
62	3	Turn	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
62	4	River	Button	12.000	0.000	194.000	Check,Raise:6.00,Raise:9.00	Check	k
64	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
65	1	Preflop	BigBlind	3.000	1.000	199.000	Fold,Call,Raise:1.00,Raise:2.50	Call	c
65	2	Flop	BigBlind	4.000	0.000	198.000	Check,Raise:2.00,Raise:3.00	Raise:2.00	b200
65	3	Flop	BigBlind	16.000	8.000	196.000	Fold,Call,Raise:8.00,Raise:12.00	Raise:12.00	b2200
66	1	Preflop	Button	1.500	0.500	199.500	Fold,Call,Raise:1.50,Raise:2.00	Raise:2.00	b300
