hand	heroPosition	heroHole	villainHole	board	winningsChips	winningsBb	decisions	villainObservations	action
4179	BigBlind	8cAd	4cKh	Ah4h3d6s	10800	108.000	4	5	b200b450c/b700c/b1750b9650b18850f
4180	Button	2dJh	TsQs	As9d4s7s7d	-19750	-197.500	5	8	b250b750b1250c/kb1900c/kb4750c/kb11850c
4181	BigBlind	3d9h	2cJd	KsJc9c	300	3.000	2	3	b200b300c/b300f
4182	Button	5dJs	7sQs	Ah7c2h3cJd	1650	16.500	4	7	b250c/kb400c/kb1000c/kb2500f
4183	BigBlind	6c4h	Qd7s		200	2.000	1	2	b200b300f
4184	Button	9d5s	9cJc	Js3d3c8dAs	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
4185	BigBlind	6sQs	QdQh	Kd7c3h3c	6600	66.000	4	5	b200b300b1800b3300c/b3300c/b6600f
4186	Button	JcKd	4s6s	Ac9d2c	300	3.000	2	3	b300c/kb450f
4187	BigBlind	Qc8h	9hTs	Kd4d3sAc	600	6.000	3	4	b200b300c/b300c/b600f
4188	Button	6cTh	3dQh	AsAcJdTc	3750	37.500	4	6	b250c/b250b500b2000b3500c/kb3750f
4189	BigBlind	5h6s	TcJc	AcJh3dTsQc	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4190	Button	9dAd	Tc6d		100	1.000	1	1	b300f
4191	BigBlind	4dQd	JdAs	Td8h7h6s6h	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4192	Button	Qd9h	Jc7s		100	1.000	1	1	b300f
4193	BigBlind	QdJh	6c7c	9c3c2d9d	6600	66.000	4	5	b200b300b1800b3300c/b3300c/b6600f
4194	Button	6d8h	3cKd	Ac9d4c	250	2.500	2	3	b250c/kb400f
4195	BigBlind	QcJs	Ac4s	Tc7c3h	300	3.000	2	3	b200b300c/b300f
4196	Button	Ah3s	6d4h		100	1.000	1	1	b300f
4197	BigBlind	5c9c	9h6s	Ad5h2s	300	3.000	2	3	b200b300c/b450f
4198	Button	6cJd	8dQd		750	7.500	2	2	b250b750b1250f
4199	BigBlind	9hJs	2cQs		200	2.000	1	2	b200b300f
4200	Button	5hQs	4cJc	KdJh4dAsQc	5900	59.000	5	8	b250c/kb400b800b2100c/kb3550c/kb8850f
4201	BigBlind	5cKh	3d6h		200	2.000	1	2	b200b300f
4202	Button	Ah5s	5dQh		100	1.000	1	1	b300f
4203	BigBlind	Qd4h	JcAc	8s7s3h9dQc	1200	12.000	4	5	b200b300c/b300c/b600c/b1800f
4204	Button	6d2s	3s9s	5d4s2h5c	3750	37.500	4	6	b250c/b250b500b2000b3500c/kb3750f
4205	BigBlind	9cKc	7cQs	As8s5c	300	3.000	2	3	b200b300c/b300f
4206	Button	9d6h	7d4s		100	1.000	1	1	b250f
4207	BigBlind	JdKh	8h9s	KsKc4s	450	4.500	2	3	b200b450c/b700f
4208	Button	2d5h	8c4s		100	1.000	1	1	b250f
4209	BigBlind	4h7s	KsAs		-3300	-33.000	3	3	b200b300b1800b3300b20000f
4210	Button	9cKh	2cAs	KcJs6h	300	3.000	2	3	b300c/kb450f
4211	BigBlind	Qd6s	Jc6h	Tc7c5c	300	3.000	2	3	b200b300c/b300f
4212	Button	QdKd	6hTs		100	1.000	1	1	b300f
4213	BigBlind	8h3s	8c9c	8d3h3cTd7h	1900	19.000	4	5	b200b300c/b450c/b1150c/b2850f
4214	Button	KdJh	2c5s		100	1.000	1	1	b300f
4215	BigBlind	6c8s	6d8h		200	2.000	1	2	b200b300f
4216	Button	Ah9s	8c9d	AdTc7s4c8d	6650	66.500	5	8	b300c/kb450b900b2350c/kb4000c/kb10000f
4217	BigBlind	2cQd	4d3h		200	2.000	1	2	b200b300f
4218	Button	8d9h	8cJh	KsJs5dJc2s	-4150	-41.500	4	7	b250c/kb400c/kb1000c/kb2500c
4219	BigBlind	4d9d	JhQh	Jd4h2d	3300	33.000	3	4	b200b300b1800b3300c/b4950f
4220	Button	8cJc	5dQd	Qs9c2c	1200	12.000	3	4	b300c/kb450b900b2350f
4221	BigBlind	7h8s	Qc4s	AsTs5d	300	3.000	2	3	b200b300c/b300f
4222	Button	Ac4h	9h5s		100	1.000	1	1	b300f
4223	BigBlind	2c4c	4hAh	7s3d2sAc8d	-20000	-200.000	6	6	b200b300c/b450b900b1350c/b1650b5550b9450b18350c/
4224	Button	8c5s	2d6h		100	1.000	1	1	b250f
4225	BigBlind	6c6s	2cJs		200	2.000	1	2	b200b450f
4226	Button	5hAs	5c4h	JcTd9h	300	3.000	2	3	b300c/kb450f
4227	BigBlind	6c5s	3d8d	8s5h3hKhQh	-13000	-130.000	5	6	b200b300c/b450b1700b2950c/b3250c/b6500c
4228	Button	4hJs	4c7s		100	1.000	1	1	b250f
4229	BigBlind	Kc3d	9sQs	Qc5h5dAc	-6000	-60.000	5	5	b200b300c/b300c/b600b3000b5400b19400f
4230	Button	8hJh	2c6s		100	1.000	1	1	b300f
4231	BigBlind	Ad3s	2c9d		50	0.500	0	1	f
4232	Button	2cKd	5cQh		100	1.000	1	1	b300f
4233	BigBlind	2hAh	Tc8s	AdAc9s	1800	18.000	3	4	b200b300c/b450b1500b3400f
4234	Button	KcKh	9hTh	KsTs4h3hTc	20000	200.000	5	7	b300c/kb450c/kb1150c/kb2850b18100c
4235	BigBlind	5d4h	3d6h	Jh9h8c	300	3.000	2	3	b200b300c/b300f
4236	Button	2hKh	2dQs		100	1.000	1	1	b300f
4237	BigBlind	Qd7h	Ad3h	Qc7c2s	300	3.000	2	3	b200b300c/b450f
4238	Button	7h4s	Tc9h	Ts8c7cJc2h	-15000	-150.000	5	8	b250c/b250b500c/kb750c/kb1500b7500b13500c
4239	BigBlind	9c3d	7cTh	9d5h4h	300	3.000	2	3	b200b300c/b450f
4240	Button	4c3s	4d3h	KsQh9d	250	2.500	2	3	b250c/kb250f
4241	BigBlind	QcTd	KdTh	Ac8h6d	300	3.000	2	3	b200b300c/b300f
4242	Button	9cKs	QcKh	Ac5c4s7h	750	7.500	3	5	b300c/kb450c/kb1150f
4243	BigBlind	6hJs	4cQh		200	2.000	1	2	b200b300f
4244	Button	7hAs	Ac8s	Kd5c4s	300	3.000	2	3	b300c/kb450f
4245	BigBlind	5d9d	9h6s		200	2.000	1	2	b200b300f
4246	Button	Ad4h	8c8h	KsQc2c2d	4500	45.000	4	6	b300b900b1800c/kb2700c/kb6750f
4247	BigBlind	Qd9s	8hTh	5c4d3h2c	3000	30.000	4	5	b200b300c/b300b1500b2700c/b3000f
4248	Button	9hTs	Tc5s		100	1.000	1	1	b300f
4249	BigBlind	ThAh	Qh8s	9d8c6c	450	4.500	2	3	b200b450c/b450f
4250	Button	8d3s	6h4s	7d7c2s	250	2.500	2	3	b250c/kb250f
4251	BigBlind	6d3s	6c3h	QhTsTh	300	3.000	2	3	b200b300c/b300f
4252	Button	8hAs	Ac2d	QsJc9cQc	1800	18.000	3	5	b300c/b300b600c/b900b1800f
4253	BigBlind	5cTs	7d3h		50	0.500	0	1	f
4254	Button	Tc5s	6d6h	9s4s3h	1250	12.500	3	4	b250b750b1250c/kb1900f
4255	BigBlind	2d3h	8dAs	9h7h5s5h	2400	24.000	4	5	b200b300c/b300c/b600b1800b3000f
4256	Button	7c3d	6s7s	AhJc8c	1250	12.500	3	4	b250b750b1250c/kb1250f
4257	BigBlind	AcKd	2d8d		200	2.000	1	2	b200b450f
4258	Button	7c7s	3d2s		100	1.000	1	1	b300f
4259	BigBlind	Td3s	Ac7s	Qd9s2cJs	600	6.000	3	4	b200b300c/b300c/b600f
4260	Button	4d6d	Tc2d		100	1.000	1	1	b250f
4261	BigBlind	2c3h	6h6s	AsKs4sTsAd	-2400	-24.000	4	5	b200b300c/b300c/b600c/b1200c
4262	Button	Tc9d	2c5h		100	1.000	1	1	b300f
4263	BigBlind	Qd8h	5d4h	8s6s6h5cTh	4750	47.500	4	5	b200b300c/b450c/b1150c/b2850c
4264	Button	6c9c	JcKc	Td7s2cAc	-4250	-42.500	5	6	b250b750b1250c/b250b500c/b1250b2500b18250f
4265	BigBlind	Ac6h	ThKh	JhJd7h6d	600	6.000	3	4	b200b300c/b300c/b600f
4266	Button	Jc4h	3c7d		100	1.000	1	1	b250f
4267	BigBlind	9c3s	Jh7s	TsTh5h3c	1800	18.000	4	5	b200b300c/b300b900b1500c/b1800f
4268	Button	4c6d	Qh6s	ThTd8h	250	2.500	2	3	b250c/kb250f
4269	BigBlind	4sQs	2c5s		50	0.500	0	1	f
4270	Button	Tc2h	6c6s	Kh7s4h3dAd	6300	63.000	5	8	b250b750b1250c/kb1900c/kb3150c/kb6300f
4271	BigBlind	8cQc	9c3s		50	0.500	0	1	f
4272	Button	7h8h	Kc9s	QsQc3sAh	650	6.500	3	5	b250c/kb400c/kb1000f
4273	BigBlind	9c4s	TcQd	Ks8d2dQs8h	1200	12.000	4	5	b200b300c/b300c/b600c/b1200f
4274	Button	7c2s	TcTs	Qh7d3hKd	3150	31.500	4	6	b250b750b1250c/kb1900c/kb4750f
4275	BigBlind	QhAs	Tc4s		200	2.000	1	2	b200b450f
4276	Button	Qd3s	Qh8s	AsJs7h	250	2.500	2	3	b250c/kb400f
4277	BigBlind	4cJc	7c5h		200	2.000	1	2	b200b300f
4278	Button	8d9s	9dAs	QsTs4d	1050	10.500	3	4	b250c/kb400b800b2100f
4279	BigBlind	6hTh	Ad7h	Kc9c4cAs2h	-7200	-72.000	5	6	b200b300c/b300c/b600b1800b3000c/b3600c
4280	Button	Jd5s	2d3h		100	1.000	1	1	b250f
4281	BigBlind	6c9s	KdAs	KsJc8c	-6600	-66.000	4	4	b200b300b1800b3300c/b3300b16700f
4282	Button	Ah4s	5dKd	6h6d2d9sJd	-20000	-200.000	5	5	b300b900b1800c/b100b200b6300b12400b18200c//
