key	win	tie	loss	stderr
2500123	0.021590792289	0.956818415422	0.021590792289	0.000000000000
3709696	0.296451447874	0.008614124595	0.694934427532	0.000000000000
4693016	0.345852722414	0.004006881956	0.650140395631	0.000000000000
1288705	0.200994099179	0.006241882283	0.792764018539	0.000000000000
3623188	0.365804202992	0.015150931143	0.619044865865	0.000000000000
1320965	0.390167283380	0.019692764836	0.590139951784	0.000000000000
3827729	0.554356002205	0.010965926611	0.434678071184	0.000000000000
1251588	0.303022710920	0.058973756996	0.638003532083	0.000000000000
4950529	0.574782865659	0.007319961876	0.417897172465	0.000000000000
2472966	0.393051701100	0.004321078500	0.602627220400	0.000000000000
1395224	0.358055578916	0.010371406012	0.631573015072	0.000000000000
1184517	0.255393318009	0.327117731431	0.417488950560	0.000000000000
2775578	0.219244947159	0.264558162569	0.516196890272	0.000000000000
4811286	0.350628743494	0.009762285202	0.639608971304	0.000000000000
2638866	0.301103659163	0.011219386277	0.687676954559	0.000000000000
272410	0.339378988778	0.020722955737	0.639898055485	0.000000000000
197656	0.238796381951	0.266106952971	0.495096665078	0.000000000000
2372870	0.392484044889	0.076318807875	0.531197147236	0.000000000000
297217	0.341420098300	0.012933451069	0.645646450630	0.000000000000
1382150	0.288864594137	0.100393972098	0.610741433764	0.000000000000
206337	0.398407058560	0.049177015296	0.552415926144	0.000000000000
1162002	0.183872139527	0.004917935133	0.811209925340	0.000000000000
1267717	0.366677295620	0.019530410488	0.613792293892	0.000000000000
88065	0.357226870929	0.020857277680	0.621915851391	0.000000000000
662532	0.377371074295	0.006192241565	0.616436684140	0.000000000000
8952347	0.549568884964	0.005435366617	0.444995748419	0.000000000000
1118747	0.618857983162	0.026198034928	0.354943981910	0.000000000000
2831634	0.561791597754	0.007731687831	0.430476714415	0.000000000000
11250437	0.071573739243	0.856852521515	0.071573739243	0.000000000000
1338372	0.373103140564	0.005124090115	0.621772769321	0.000000000000
3820056	0.224360861155	0.360649160429	0.414989978415	0.000000000000
556038	0.399445425579	0.004338014745	0.596216559676	0.000000000000
7838736	0.513987586316	0.004423863987	0.481588549697	0.000000000000
1784340	0.592075355778	0.008638652949	0.399285991273	0.000000000000
4688411	0.332308398509	0.008716910081	0.658974691410	0.000000000000
76820	0.318359940758	0.006815962586	0.674824096656	0.000000000000
621056	0.320709406741	0.011614175987	0.667676417272	0.000000000000
1538310	0.268113021987	0.058073799979	0.673813178034	0.000000000000
5921560	0.227405881199	0.038106551173	0.734487567628	0.000000000000
1673234	0.273180463282	0.008827871686	0.717991665031	0.000000000000
791045	0.563873003859	0.006175889328	0.429951106813	0.000000000000
2582810	0.316799470188	0.013877792728	0.669322737084	0.000000000000
